"법정구역","2026년06월_계_총인구수","2026년06월_계_연령구간인구수","2026년06월_계_0~9세","2026년06월_계_10~19세","2026년06월_계_20~29세","2026년06월_계_30~39세","2026년06월_계_40~49세","2026년06월_계_50~59세","2026년06월_계_60~69세","2026년06월_계_70~79세","2026년06월_계_80~89세","2026년06월_계_90~99세","2026년06월_계_100세 이상","2026년06월_남_총인구수","2026년06월_남_연령구간인구수","2026년06월_남_0~9세","2026년06월_남_10~19세","2026년06월_남_20~29세","2026년06월_남_30~39세","2026년06월_남_40~49세","2026년06월_남_50~59세","2026년06월_남_60~69세","2026년06월_남_70~79세","2026년06월_남_80~89세","2026년06월_남_90~99세","2026년06월_남_100세 이상","2026년06월_여_총인구수","2026년06월_여_연령구간인구수","2026년06월_여_0~9세","2026년06월_여_10~19세","2026년06월_여_20~29세","2026년06월_여_30~39세","2026년06월_여_40~49세","2026년06월_여_50~59세","2026년06월_여_60~69세","2026년06월_여_70~79세","2026년06월_여_80~89세","2026년06월_여_90~99세","2026년06월_여_100세 이상"
"부산광역시 중구 광복동1가 (2611013300)","44","44","2","0","6","5","5","7","8","6","4","1","0","23","23","1","0","3","2","2","4","6","2","2","1","0","21","21","1","0","3","3","3","3","2","4","2","0","0"
"부산광역시 중구 광복동2가 (2611013400)","23","23","0","0","2","0","0","4","8","4","4","1","0","15","15","0","0","1","0","0","4","6","2","2","0","0","8","8","0","0","1","0","0","0","2","2","2","1","0"
"부산광역시 중구 광복동3가 (2611013500)","23","23","0","0","0","4","1","5","3","3","6","1","0","14","14","0","0","0","3","1","3","2","1","4","0","0","9","9","0","0","0","1","0","2","1","2","2","1","0"
"부산광역시 중구 남포동1가 (2611013600)","60","60","0","3","1","3","8","6","20","17","1","1","0","33","33","0","0","0","3","7","4","12","7","0","0","0","27","27","0","3","1","0","1","2","8","10","1","1","0"
"부산광역시 중구 남포동2가 (2611013700)","53","53","1","2","5","2","7","8","12","14","2","0","0","27","27","0","2","2","0","5","4","6","6","2","0","0","26","26","1","0","3","2","2","4","6","8","0","0","0"
"부산광역시 중구 남포동3가 (2611013800)","6","6","0","0","0","1","0","1","3","0","0","1","0","4","4","0","0","0","1","0","1","2","0","0","0","0","2","2","0","0","0","0","0","0","1","0","0","1","0"
"부산광역시 중구 남포동4가 (2611013900)","177","177","0","5","2","16","14","39","51","35","14","1","0","111","111","0","5","1","10","7","29","32","21","6","0","0","66","66","0","0","1","6","7","10","19","14","8","1","0"
"부산광역시 중구 남포동5가 (2611014000)","170","170","0","2","9","10","11","39","48","39","10","2","0","102","102","0","1","6","5","8","26","31","20","4","1","0","68","68","0","1","3","5","3","13","17","19","6","1","0"
"부산광역시 중구 남포동6가 (2611014100)","272","272","1","3","4","15","11","44","105","53","31","5","0","159","159","1","1","2","11","6","32","66","29","9","2","0","113","113","0","2","2","4","5","12","39","24","22","3","0"
"부산광역시 서구  (2614000000)","101,216","101,216","3,977","7,033","10,439","10,073","12,459","16,286","18,802","14,457","6,689","973","28","48,407","48,407","2,048","3,626","4,981","5,129","6,351","8,305","8,926","6,317","2,487","232","5","52,809","52,809","1,929","3,407","5,458","4,944","6,108","7,981","9,876","8,140","4,202","741","23"
"부산광역시 서구 동대신동1가 (2614010100)","4,996","4,996","246","319","470","527","647","800","887","698","337","63","2","2,405","2,405","130","175","227","276","327","413","418","309","119","10","1","2,591","2,591","116","144","243","251","320","387","469","389","218","53","1"
"부산광역시 서구 동대신동2가 (2614010200)","6,144","6,144","114","370","518","429","637","1,089","1,242","1,103","555","85","2","2,937","2,937","47","194","250","230","342","548","590","482","228","26","0","3,207","3,207","67","176","268","199","295","541","652","621","327","59","2"
"부산광역시 서구 동대신동3가 (2614010300)","6,911","6,911","219","486","972","655","818","1,130","1,141","938","477","73","2","3,188","3,188","117","257","403","348","396","580","514","385","170","17","1","3,723","3,723","102","229","569","307","422","550","627","553","307","56","1"
